"filename", "language", "JavaScript", "HTML", "JSON", "JavaScript JSX", "PostCSS", "XML", "Markdown", "comment", "blank", "total"
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\README.md", "Markdown", 0, 0, 0, 0, 0, 0, -9, 0, -8, -17
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\eslint.config.js", "JavaScript", -28, 0, 0, 0, 0, 0, 0, 0, -2, -30
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\index.html", "HTML", 0, -14, 0, 0, 0, 0, 0, 0, -1, -15
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\package-lock.json", "JSON", 0, 0, -4450, 0, 0, 0, 0, 0, -1, -4451
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\package.json", "JSON", 0, 0, -39, 0, 0, 0, 0, 0, -1, -40
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\postcss.config.js", "JavaScript", -6, 0, 0, 0, 0, 0, 0, 0, -1, -7
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\public\vite.svg", "XML", 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\App.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\App.jsx", "JavaScript JSX", 0, 0, 0, -47, 0, 0, 0, -2, -9, -58
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\api\chat.api.js", "JavaScript", -93, 0, 0, 0, 0, 0, 0, 0, -15, -108
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\api\group.api.js", "JavaScript", -182, 0, 0, 0, 0, 0, 0, -3, -28, -213
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\api\message.api.js", "JavaScript", -66, 0, 0, 0, 0, 0, 0, 0, -12, -78
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\api\user.api.js", "JavaScript", -159, 0, 0, 0, 0, 0, 0, -1, -16, -176
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\components\guards\ProtectedRoute.jsx", "JavaScript JSX", 0, 0, 0, -12, 0, 0, 0, 0, -7, -19
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\components\guards\ProtectedRouteAuth.jsx", "JavaScript JSX", 0, 0, 0, -12, 0, 0, 0, 0, -5, -17
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\components\message\FileUpload.jsx", "JavaScript JSX", 0, 0, 0, -94, 0, 0, 0, 0, -12, -106
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\components\message\MediaPreview.jsx", "JavaScript JSX", 0, 0, 0, -194, 0, 0, 0, -9, -19, -222
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\components\message\Message.jsx", "JavaScript JSX", 0, 0, 0, -535, 0, 0, 0, -32, -49, -616
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\components\message\SingleFilePreview.jsx", "JavaScript JSX", 0, 0, 0, -100, 0, 0, 0, -6, -13, -119
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\components\user\ChatCard.jsx", "JavaScript JSX", 0, 0, 0, -178, 0, 0, 0, -20, -15, -213
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\components\user\ChatList.jsx", "JavaScript JSX", 0, 0, 0, -118, 0, 0, 0, -4, -14, -136
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\components\user\ChatWindow.jsx", "JavaScript JSX", 0, 0, 0, -161, 0, 0, 0, -8, -20, -189
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\components\user\CreateGroup.jsx", "JavaScript JSX", 0, 0, 0, -87, 0, 0, 0, 0, -13, -100
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\components\user\GroupInfo.jsx", "JavaScript JSX", 0, 0, 0, -612, 0, 0, 0, -76, -76, -764
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\components\user\Profile.jsx", "JavaScript JSX", 0, 0, 0, -407, 0, 0, 0, -16, -36, -459
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\components\user\Settings.jsx", "JavaScript JSX", 0, 0, 0, -32, 0, 0, 0, 0, -7, -39
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\constants\socketEvents.js", "JavaScript", -25, 0, 0, 0, 0, 0, 0, 0, 0, -25
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\context\AuthProvider.jsx", "JavaScript JSX", 0, 0, 0, -18, 0, 0, 0, 0, -7, -25
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\hooks\useGroup.jsx", "JavaScript JSX", 0, 0, 0, -17, 0, 0, 0, 0, -6, -23
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\index.css", "PostCSS", 0, 0, 0, 0, -8, 0, 0, 0, -1, -9
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\main.jsx", "JavaScript JSX", 0, 0, 0, -17, 0, 0, 0, 0, -3, -20
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\pages\auth\Login.jsx", "JavaScript JSX", 0, 0, 0, -93, 0, 0, 0, -14, -17, -124
